itl3,code,name
TLC11,E06000001,Hartlepool
TLC12,E06000002,Middlesbrough
TLC12,E06000003,Redcar and Cleveland
TLC11,E06000004,Stockton-on-Tees
TLC13,E06000005,Darlington
TLD71,E06000006,Halton
TLD61,E06000007,Warrington
TLD41,E06000008,Blackburn with Darwen
TLD42,E06000009,Blackpool
TLE11,E06000010,"Kingston upon Hull, City of"
TLE12,E06000011,East Riding of Yorkshire
TLE13,E06000012,North East Lincolnshire
TLE13,E06000013,North Lincolnshire
TLE21,E06000014,York
TLF11,E06000015,Derby
TLF21,E06000016,Leicester
TLF22,E06000017,Rutland
TLF14,E06000018,Nottingham
TLG11,E06000019,"Herefordshire, County of"
TLG21,E06000020,Telford and Wrekin
TLG23,E06000021,Stoke-on-Trent
TLK12,E06000022,Bath and North East Somerset
TLK11,E06000023,"Bristol, City of"
TLK12,E06000024,North Somerset
TLK12,E06000025,South Gloucestershire
TLK41,E06000026,Plymouth
TLK42,E06000027,Torbay
TLK14,E06000030,Swindon
TLH11,E06000031,Peterborough
TLH21,E06000032,Luton
TLH31,E06000033,Southend-on-Sea
TLH32,E06000034,Thurrock
TLJ41,E06000035,Medway
TLJ11,E06000036,Bracknell Forest
TLJ11,E06000037,West Berkshire
TLJ11,E06000038,Reading
TLJ11,E06000039,Slough
TLJ11,E06000040,Windsor and Maidenhead
TLJ11,E06000041,Wokingham
TLJ12,E06000042,Milton Keynes
TLJ21,E06000043,Brighton and Hove
TLJ31,E06000044,Portsmouth
TLJ32,E06000045,Southampton
TLJ34,E06000046,Isle of Wight
TLC14,E06000047,County Durham
TLD62,E06000049,Cheshire East
TLD63,E06000050,Cheshire West and Chester
TLG22,E06000051,Shropshire
TLK30,E06000052,Cornwall
TLK30,E06000053,Isles of Scilly
TLK15,E06000054,Wiltshire
TLH24,E06000055,Bedford
TLH25,E06000056,Central Bedfordshire
TLC21,E06000057,Northumberland
TLK24,E06000058,"Bournemouth, Christchurch and Poole"
TLK25,E06000059,Dorset
TLJ13,E06000060,Buckinghamshire
TLH12,E07000008,Cambridge
TLH12,E07000009,East Cambridgeshire
TLH12,E07000010,Fenland
TLH12,E07000011,Huntingdonshire
TLH12,E07000012,South Cambridgeshire
TLD11,E07000026,Allerdale
TLD11,E07000027,Barrow-in-Furness
TLD12,E07000028,Carlisle
TLD11,E07000029,Copeland
TLD12,E07000030,Eden
TLD12,E07000031,South Lakeland
TLF13,E07000032,Amber Valley
TLF12,E07000033,Bolsover
TLF12,E07000034,Chesterfield
TLF13,E07000035,Derbyshire Dales
TLF13,E07000036,Erewash
TLF13,E07000037,High Peak
TLF12,E07000038,North East Derbyshire
TLF13,E07000039,South Derbyshire
TLK43,E07000040,East Devon
TLK43,E07000041,Exeter
TLK43,E07000042,Mid Devon
TLK43,E07000043,North Devon
TLK43,E07000044,South Hams
TLK43,E07000045,Teignbridge
TLK43,E07000046,Torridge
TLK43,E07000047,West Devon
TLJ22,E07000061,Eastbourne
TLJ22,E07000062,Hastings
TLJ22,E07000063,Lewes
TLJ22,E07000064,Rother
TLJ22,E07000065,Wealden
TLH37,E07000066,Basildon
TLH34,E07000067,Braintree
TLH36,E07000068,Brentwood
TLH37,E07000069,Castle Point
TLH36,E07000070,Chelmsford
TLH34,E07000071,Colchester
TLH35,E07000072,Epping Forest
TLH35,E07000073,Harlow
TLH36,E07000074,Maldon
TLH37,E07000075,Rochford
TLH34,E07000076,Tendring
TLH35,E07000077,Uttlesford
TLK13,E07000078,Cheltenham
TLK13,E07000079,Cotswold
TLK13,E07000080,Forest of Dean
TLK13,E07000081,Gloucester
TLK13,E07000082,Stroud
TLK13,E07000083,Tewkesbury
TLJ37,E07000084,Basingstoke and Deane
TLJ36,E07000085,East Hampshire
TLJ35,E07000086,Eastleigh
TLJ35,E07000087,Fareham
TLJ35,E07000088,Gosport
TLJ37,E07000089,Hart
TLJ35,E07000090,Havant
